Pathway	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
Sesquiterpenoid and triterpenoid biosynthesis 	10658.67	11167.54	10321.85	8112.34	12670.15	4078.84	34270.66	7975.68	14308.85	1149	14264.75	4264.5	14175.96	4009.5	18038.46	13835.66	21034.56	22118.08	15951.75	53154.03	20566.28	5713.42	3325.08	9220.55	16723.52	14197.5	24804.04	11761.74	10737
Shigellosis 	107300.38	162936.06	128180.43	74190.03	68376.98	85781.23	108774.97	63788.54	117219.65	87564.2	72030.93	55686.65	75498.02	74088.36	78120.31	146061.19	147439.33	107072.16	157847.71	61773.38	151479.15	134532.44	91295.08	64848.7	99044.17	86556.93	131435.79	72076.06	90520.5
Signaling pathways regulating pluripotency of stem cells 	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	219.5	83	0	0	23	0	0	0	36	0	0	0	0	0
Signaling proteins	208582.58	458926.03	169324.6	187466.47	182372.65	186046.96	256062.89	157070.22	261661.97	173636.29	181222.64	131220.97	164895.23	183423.3	211609.29	277192.68	216286.72	187602.39	265266.85	205891.94	211283.05	146622.94	296251.75	151028.02	157309.71	210680.54	204697.29	148339.07	195032.84
Small cell lung cancer 	51662.34	77253.53	79208.08	24958.07	29602.22	20160.82	59872.32	21219.97	52195.85	21892.74	30578	15347.58	43915.19	19525.7	26341.74	89444.46	82011.18	63460.96	66729.24	32597.32	83050.53	65630.57	16290.42	28870.6	57522.76	52219.18	60027.57	34726.1	37571
Sphingolipid metabolism 	100612.04	72333.28	91129.42	62037.76	76934.4	26228.59	118388.6	35414.75	121284.86	15694.35	58521.04	21600.17	95152.19	37063.49	53409.22	137309.7	174294.63	117535.7	115436.06	140260.25	127455.63	60226.66	40652.54	45161.98	74091.99	95962.49	105739.69	44505.56	82360.17
Sphingolipid signaling pathway 	468.2	785.5	1031.1	402	1107.25	91.5	1322.25	170	2970.75	81	1006.75	277.5	1401.86	146.5	459.5	1098.5	1151.33	1147	760.58	311.17	292.75	890	277	1658	231.75	1425.5	199.5	223.75	966
Spinocerebellar ataxia 	49448.34	77928.53	80217.58	25206.07	29634.22	20598.32	59342.32	20983.97	53144.85	22076.24	30657	15452.58	34283.05	19775.7	26341.74	89441.71	79672.18	63107.46	66108.24	32826.32	86835.53	65905.57	16441.42	29185.6	58867.76	53707.18	62691.57	34934.1	37776
Spliceosom	232	0	266	0	346	0	181	0	539	0	296	0	190	0	0	0	223	0	133	0	0	0	18	21	239	0	0	0	750
Spliceosome 	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
Staphylococcus aureus infection 	14842.06	23023.8	7080.97	55197.73	9006.91	87664.48	16986.9	21862.96	11740.37	89260.74	10742.73	44122.83	11220.4	70805.7	10556.58	5874.87	15713.33	9357.95	10549.64	6793.95	14151.71	15971.39	15125.8	7478.77	8079.73	6270.79	17832.29	4663.48	6308.34
Starch and sucrose metabolism 	1091712.24	799676.11	786062.67	650375.69	719502.59	533163.19	933342.14	511046.8	982857.12	432325.86	726592.5	360271.51	685747.29	621614.69	750348.95	746566.56	905792.62	866487.58	998678.72	922297.94	906921.13	531060.44	805346.91	572251.71	607097.59	956770.27	915217.75	795361.77	706270.1
Staurosporine biosynthesis 	34233.25	31536.75	11493.5	4387	7267	1847.5	11600.5	7664	13486	1828	3775	876	22168.96	1219	3377.25	28715.83	44674.58	22868	17647	1972.83	20438	4189	5416.25	3229.75	6811.25	16990.85	6983	2000	11496
Steroid biosynthesis 	5816.47	3625.07	2092.3	12356.92	6596.2	6068.17	17793.83	5277.84	4360.55	2620.5	7304.5	5576	7746.73	9619.5	9291.23	1660.01	5063.33	5214.47	3100.17	4382.6	8116.64	2458.66	1861.49	1415.44	7437.3	6037.25	9876.27	2189.37	826.5
Steroid degradation 	55914.73	61483.93	31786.93	177812.71	54031.7	110497.46	77901.26	38649.87	54058.55	63897.66	63352.5	90259.97	89609.63	187561.3	42375.93	28309.98	45152.25	91642.41	41993.06	71633.97	67416.98	43280.33	11770.3	52107.96	31543	103633.58	54767.43	19836.37	5495.5
Steroid hormone biosynthesis 	9541.67	8309.33	9613.3	31430.01	9251.25	20133.51	10874	6299.96	11858.5	12079.04	9596.75	16245.83	21976.83	33851.4	5983.25	10764.14	17455.11	22233.76	9297.29	32997.17	18722	7610.85	2345.39	9068.67	9057.03	19829	9356.75	2375.75	2936
Stilbenoid	3222.67	284.83	7814.25	1145.5	507	0	575.75	130	516	0	382.5	0	302	38	439	185.25	187.83	685	209.5	172	280.25	73.5	194	1683	832.5	3941	808	1123.75	1140
Streptomycin biosynthesis 	500632.19	385106.91	378616.95	289396.89	290323.18	218751.07	450588.09	195390.55	445841.4	193182.29	325136.02	166868.98	299049.96	253364.42	312832.47	360684.07	409038.85	385809.9	435634.05	364566.68	431008.06	279877.29	274799.11	255539.09	304916.82	379697.4	413866.24	392721.66	338083.37
Structural proteins	321894.47	671741.7	406801.89	311740.17	362788.88	305851.39	514006.22	299277.49	479780.83	301825.24	307755.64	209438.23	303480.73	283117.07	408370.59	447150.73	440849.25	343204.75	509987.44	223255.38	476713.98	371064.31	494525.12	303415.96	374693.06	341546.96	458406.07	242288.88	359865.34
Styrene degradation 	307069.78	366887.43	256282.1	220017.09	155518.51	211845.84	320734.62	139111.92	246759.42	194140.16	189370.5	162119.97	205970.62	217109.8	199474.72	200991.12	259576.65	255051.55	262804.74	202778.6	299248.55	178068.96	125715.63	155151.45	211506.95	245972.48	304304.83	237904.6	158765.85
Sulfur metabolism 	949294.36	1317828.75	837864.36	802228.55	644279.58	719844.49	999110.81	555978.24	973292.88	652525.37	686428.15	513275.16	715810.5	781611.96	740606.67	1028747.72	977943.06	908296.73	1023751.36	722985.88	1004512.08	757493.01	799031.33	533439.83	669553.95	949258.39	974331.98	637720.29	682461.54
Sulfur relay system 	492039.8	585029.53	351291.49	332399.4	309829.28	293193.4	382819.8	225696.08	443922.49	279535.37	332790.44	199523.31	280859.4	311447.14	310466.24	344998.47	344742.6	349084.76	464102.6	247722.63	371006.43	299792.19	388770.35	293828.96	313638.48	401997.7	398412.26	411674.1	329578.04
Synthesis and degradation of ketone bodies 	365980.32	394809.5	303130.28	337533.3	205838.06	326999.81	420131.07	164039.73	302990.11	287783	255630	219716.37	277536.92	351236.1	233920.53	335805	368336.62	368487.66	311715.14	301470.15	380532.82	234871.91	149705.45	221469.44	272811.59	373470.91	348935.95	252151.64	226164.35
Systemic lupus erythematosus 	265.33	55.33	541	310	109	34	52	141.5	333	0	84	0	628.36	0	31	1323.25	794	718	179	93	781	49	129	190	773.5	138.17	298.42	203	676.5
T cell receptor signaling pathway 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNF signaling pathway 	3756	14	111	96	16	0	2237	236	825	0	0	0	9751	80	0	29	4162	1707	1703	0	1272	166	54	21	352	1355	1328	0	48
Taurine and hypotaurine metabolism 	299440.89	285594.81	208769.31	245256.47	173398.05	230493.61	301601.23	147661.21	247661.79	206176.48	184546.74	156041.9	193308.99	236052.62	192141.37	208866.62	253148.7	241820.81	280055.27	181282.06	277147.72	131661.79	157376.69	143825.7	213707.15	262646.15	272058.5	212122.28	187854.34
Terpenoid backbone biosynthesis 	780569.92	650783.11	557542.17	564825.96	430418.84	450905.12	666858.4	298738.94	616957.61	403368.27	503077.46	306158.48	479283.06	501986.69	437271.94	519479.9	570038.7	594128.61	603415.52	518694.78	611102.67	409991.64	350607.66	404284.25	474812.96	658826.41	599886.88	615188.95	501734.05
Tetracycline biosynthesis 	468	4828.08	851	162	2125.5	1082	853	1826	703	58	1445.75	452	1139	0	534.25	13802.65	8768.18	7841.76	0	69437.15	124	2084	1052.25	1690.5	1658.17	0	1072	745	0
Th17 cell differentiation 	19883.31	34170.9	24154.3	25064.03	20831.98	21929.48	28060.17	16317.96	27072.5	20018.99	21698.7	15284.25	19710.22	23713.12	22501.87	30380.62	24798.75	26727.77	24069.71	29175.12	25317.06	14966.79	23968.54	24372.92	17971.23	21202.12	23197.86	13973.79	19997.17
Thermogenesis 	306551.58	288628.13	236040.94	192774.08	153976.71	171119.7	270425.36	102888.77	228167.3	159508.43	174078.29	114175.48	165716.29	175155.82	162761.3	250229.02	243007.39	250664.81	246282.87	209558.22	264418.83	178924.27	110182.58	188134.6	216060.17	247020.19	249534.4	237871.2	188176.18
Thiamine metabolism 	554696.09	432456.54	373220.27	342004.12	325275.61	284872.93	452320.41	220844.97	463150.66	257135.88	360564.66	193612.92	337169.2	306121.11	332449.09	367469.53	403216.82	382063.05	462056.71	282504.13	420992.37	285447.46	337334.73	271096.62	332696.28	416972.72	413676.69	453970.45	398664.54
Thyroid hormone signaling pathway 	74353.89	29027.31	46409.35	55577.37	51085.82	61372.35	90463.98	41303.52	63388.19	58310	47768.39	39396.92	52316.69	58860.34	48906.94	53933.27	58449.65	54277.57	68864.52	68211.78	55822.56	20636.57	30441.35	40151.45	52270.89	50921.37	84239.05	64569.89	45183.51
Thyroid hormone synthesis 	46701.16	106703.78	59674.87	46952.23	53021.71	43932.91	54375.23	36166.82	72867.34	44675.21	48614.34	30825.49	42610.51	44968.06	48145.01	62959.97	63284.88	59291.7	73355.49	43426.46	66744.45	46894.21	71812.87	51993.23	51152.32	59854.82	62252.97	34408.33	52919.5
Tight junction 	165	5.8	36.5	0	5.8	0	10	0	111	0	0	0	4	0	0	496	0	0	53	3442	0	116	0	0	0	0	0	13	0
Toll and Imd signaling pathway 	213.33	80.33	185.67	392	167	0	122	0	0	0	0	0	18	0	0	313	223	182	31.67	0	373	39	237.67	0	17	0	61.67	14.67	0
Toluene degradation 	93734.67	176827.54	99570.31	94110.31	83313.52	107265.85	181497.89	64042.47	108686.68	81211.6	90030.98	82935.15	125332.57	131446.27	103456.01	163672.03	155332.98	139314.47	115811.15	125168.09	160390.29	80100.76	67546.63	85147.59	106502.9	124531.92	133040.62	63544.27	132675.51
Toxoplasmosis 	47906.34	77253.53	79097.08	24862.07	29602.22	20160.82	59178.32	20983.97	51664.85	21892.74	30578	15347.58	34164.19	19445.7	26341.74	89415.46	77849.18	61753.96	65272.24	32597.32	81778.53	65464.57	16236.42	28849.6	57170.76	50864.18	60027.57	34726.1	37571
Transcription	219711.67	291621.16	215170.13	164369.27	163558.04	138235.65	246495.13	132237.43	231950.37	125761.66	164837.06	93162.98	162034.59	135699.17	183109.49	168209.32	212886.57	201617.51	252070.45	171780.32	240089.88	172558.26	210299.53	131859.04	170588.14	211724.04	228712.46	178669.79	165652.67
Transcription factor	2207916.87	3545649.8	2103819.45	1878439.63	1691510.04	1998007.52	2789106.25	1574093.52	2284995.34	1835489.89	1735323.59	1327604.92	1746049.82	1930656.74	2136100.46	2597584.14	2435182.53	2076416.26	2469881.96	1890877.24	2393480.05	1874145.82	2462126.42	1322648.02	1618520.78	2000911.83	2400166.52	1686786.19	1755679.45
Transcription machiner	1429963.94	1164818.27	916672.09	822727.93	797531.44	716327.08	1155492.2	524176.99	1124576.6	658078.73	860357.06	487253.8	800895.27	764576.44	823031.07	992282.73	966709.9	934773.99	1093589.66	806717.53	1010735.46	710234.4	735381.88	752928.22	819636.22	1027288.76	1071276.52	1150059.89	931680.26
Transfer RNA biogenesi	3072291.03	2816508.6	2178617.9	1748150.26	1887242.19	1513942.25	2519315.71	1283519.92	2681864.76	1410299.82	1968348.77	1045852.59	1741628.79	1611126.33	1902446.59	2060912.63	2188183.28	2034529.29	2674879.18	1462391.61	2339328.31	1737337.07	2025604.31	1885849.49	1965656.24	2295468.6	2367439.84	2511510.68	2149765.03
Translation	33899.76	61628.17	40914.39	26284.17	20921.46	29149.43	35299.84	15504.71	38997.54	29815.18	21053.91	20514.91	18967.04	25654.7	19611.37	35572.7	35281.08	26083.72	33076.71	16329.76	41695.96	38942.06	31761.69	26589.85	31671.41	30338.69	36036.69	25126.8	34574
Translation factor	883605.72	734193.39	588385.78	534329.05	519550.01	470793.84	722045.79	357693.69	729246.29	427097.58	559488.16	309847.93	490390.56	506550.47	536995.09	614193.92	613751.14	580453.99	748084.4	437818.77	653756.98	463972.36	501413.89	533299.32	543246.14	646747.31	655002.87	710794.22	583917.06
Transport	451176.03	580206.97	369502.3	275068.8	357850.49	273898.44	664501.75	254500.55	479990.74	224990.86	358649.1	200439.79	400090.08	271468.93	423880.12	412733.46	506954.16	425017.82	467951.17	426808.06	498517.72	253524.51	406418.22	256276.01	357012.69	414079.17	477930.99	328631.31	353927.52
Transporter	12790094.37	16847165.99	12767688.93	10879614.07	9388321.84	11723599.16	15529361.66	8867544.48	12994661.03	11101417.21	9981383.72	7473072.18	9289016.69	11112321.06	11861868.59	13588407.31	12705417.23	11451750.7	13905938.05	10767966.14	13295736.65	12309786.58	12927098.4	7536100.07	9430877.35	11801677.75	13770608.29	9544466.57	9361092.58
Tropane	164831.86	159320.99	149380.38	134428.54	118938.55	134618.35	178995.26	95301.97	153097.05	127294.89	124924.14	86721.57	121198.89	139831.93	138443.41	145080.28	159742.93	144204.75	157057.18	134772.52	165258.28	133705.99	128090.58	107950	118807.6	145311.14	163900.92	133689.62	116449.34
Tryptophan metabolism 	1051389.84	1079198.1	867867.56	950523.65	630595.02	821470.92	1124966.84	512890.29	884730.91	706216.69	731026.72	588143.33	834242.16	936895.82	703574.04	972827.41	947052.26	980337.88	894158.77	883217.44	998663.96	648689.24	492165.81	604258.58	737776.37	978740.38	997043.12	789614.58	645722.05
Tuberculosis 	287867.21	237543.13	232601.5	211060.28	169879.22	181305.58	236753.43	109208.17	238844.63	140614.2	183394.19	137718.16	203659.85	249545.68	158049.34	207465.6	234106.88	231527.14	247715.21	168205.53	250352.61	176432.67	129430.7	159375.64	191635.74	271597.84	240457.2	207414.08	164135.02
Two-component syste	1476398.45	2361894.72	1325613.08	1137700.18	1032379.39	1155457.35	1626046.05	911252.38	1496656.5	1108396.15	1056645.03	802739.26	1059074.28	1126838.76	1226209.49	1966933.83	1483600.05	1234070.4	1518792.24	1074746.57	1443241.91	1124889.05	1407786.65	796035.39	1062419.33	1175343.35	1454675.18	1034605.21	1117758.84
Two-component system 	3646694.36	5856910.83	3230504.58	3105359.79	2547757.85	3262443.72	4110965.71	2304312.88	3728621.28	3121165.71	2617341.14	2169260.35	2662234.28	3088973.9	3015854.44	4227841.71	3530155.6	3059518.65	3858037.29	2378629.89	3581959.76	2794485.99	3438431.08	2116519.78	2690875.86	3065745.66	3687072.7	2589372.6	2865890.9
Type I diabetes mellitus 	86211.39	50468.53	66404.02	65115.34	43038.56	50031.96	66912.52	28039.56	67636.1	41889.73	51675.87	31449.58	55738.09	58594.82	44746.12	44728.78	59302.03	68011.5	76357.22	54662.56	70250.03	37998.96	34411.21	52208.46	53337.28	78658.67	69189.46	67679.17	44095.84
Type I polyketide structures 	2409.74	1572.23	2361.33	593	1676.83	3243	433	906	0	838	1349	2327	1518	5643	1065	5340.91	2911.57	2458.27	619.67	28720	1557.51	3547.6	508.1	2728.87	631.66	621.83	927	362.17	0
Type II diabetes mellitus 	56617.72	58561.73	37439.06	33319.33	33702.49	24962.15	49896.84	24023.82	47683.8	22605.24	36748.08	17066	30469.73	27963.54	33813.76	57934.08	38321.7	41268.34	51680.57	33772.15	38996.05	37527	39339.84	34200.99	33786.96	44183.02	40328.36	45392.63	36640.17
Tyrosine metabolism 	605929.49	686859.3	632678.32	604277.78	421684.4	575602.4	825172.29	369737.14	606061.22	521492.8	474743.54	395421.8	532364.71	598599.34	499707.43	665656.75	693921.54	668919.15	637111.91	652222.81	723300.21	518764.89	408907.35	399580.49	510087.78	627069.77	701504.74	448344.82	425418.69
Ubiquinone and other terpenoid-quinone biosynthesis 	433568.99	485884.36	349908.84	296208.89	319079.33	258470.14	481903.36	233315.02	447485.65	240077.5	322765.7	178977.75	301449.96	264754.98	350837.82	400172.46	363131.66	351238.12	451355.44	320747.04	382194.82	269565.88	364521.85	312010.55	311857.89	379731.26	416491.64	357565.78	356743.86
Ubiquitin mediated proteolysis 	165	0	36.5	0	0	0	10	0	515	677	0	0	4	0	0	0	83	0	217	0	0	0	226	0	0	418	0	0	0
Ubiquitin syste	54287.69	34661.65	24166.01	31270.81	29302.56	16375.18	27710.28	14075.18	45345.78	13261.79	33248.75	12982	27900.25	26160.82	22193.26	10376.8	20121.29	32215.79	44820.46	25336.86	30671.25	14122.44	23972.13	33441.83	27642.6	52049.2	36399.42	45914.26	31507.17
Unclassified viral proteins	111613.88	80334.82	72623.24	70077.48	64856.93	63105.13	97239.1	42580.62	92456.55	58056.98	71647.15	41388.5	63577.02	67011.24	64682.17	65703.97	74913.31	71961.24	87838.72	52348.7	81951.06	57341.04	53493.04	78613.62	69973.98	84131.39	85172.57	89307.96	74156.84
VEGF signaling pathway 	3756	0	111	96	0	0	694	236	531	0	0	0	9751	80	0	29	4162	1707	1457	0	1272	166	54	21	352	1355	0	0	0
Valine	2449006.72	2158218.58	1893662.73	1877979.32	1333002.28	1662813.94	2328451.3	1030438.59	1928941.36	1466334.38	1566995.92	1151553.25	1636359.89	1846052.37	1458824.67	1811971.7	2036836.39	2003558.82	1974538.05	1731672.8	2144661.37	1444851.72	1088696.06	1350001.61	1621364.31	2065429.64	2117750.09	1875259.79	1379268.84
Vancomycin resistance 	377644.96	265546.73	232290.08	172441.35	180043.62	132309.25	236793.89	110995.21	262544.53	119189.49	198630.62	94920.25	183216.76	151055.84	187393.49	193025.83	222588.69	220187.92	251276.18	194827.22	226101.77	160047.26	159989.92	186551.9	190250.77	244148.32	245507.95	275710.53	208474.68
Various types of N-glycan biosynthesis 	18699.77	13451.37	15143.92	4466.97	16840.69	3177	15190.28	9727.25	20814.93	1560.75	10191.92	1624.5	17091.11	2723.42	10435.43	13858.51	34230.09	25855.53	23596.8	32985.03	22489.75	15666.4	14928.7	10477.65	12865.91	15319.53	16097.25	9001.08	18881.17
Vascular smooth muscle contraction 	0	10	0	221	90	0	0	0	0	0	37	0	0	38	182	0	58	452	0	0	0	166	0	0	0	3847	0	0	0
Vibrio cholerae infection 	854.25	26338.34	471.5	392	972.83	4.67	2962.83	863	836	0	1099.17	71.5	919.5	276	504	461.67	385.58	392	626	83.33	973.67	1173.66	1413.53	324.08	1403.08	1137	2131.08	332	48
Viral carcinogenesis 	57772.72	58561.73	37694.56	33319.33	33702.49	24962.15	49946.84	24023.82	47889.8	22605.24	36748.08	17066	30489.73	27963.54	33813.76	57934.08	38321.7	41268.34	52051.57	33772.15	38996.05	37527	39339.84	34200.99	33786.96	44175.02	40328.36	45392.63	36640.17
Viral myocarditis 	47906.34	77299.53	79097.08	24862.07	29602.22	20160.82	59178.32	20983.97	51664.85	21892.74	30578	15347.58	34164.19	19445.7	26341.74	89415.46	77849.18	61784.96	65272.24	32597.32	81778.53	65464.57	16236.42	28878.6	57170.76	50864.18	60027.57	34726.1	37571
Viral protein	204	456	16	711	0	829.5	38	253	572.5	550.5	123.25	1867	48.75	0	201	219.5	126	2904.5	230	42	929.5	7317	3067	262	990	500.5	143	0	0
Vitamin B6 metabolism 	287254.28	265180.48	237915.85	211082.15	177737.19	208691.37	259703.96	136846.92	259297.05	197263.97	195083.38	130583.16	170365.23	209199.08	193937.85	175718.52	221922.59	204515.64	261040.49	161978.84	236314.26	179092.75	196368.82	178155.42	187265.89	245137.59	236259.41	224492.14	195360.18
Wnt signaling pathway 	47	0	0	237	0	276.5	76	0	543	183.5	7	105	152	0	169	53	0	930.5	154	0	40	0	0	10	51.5	154	14	0	736
Xylene degradation 	121155.64	323246.64	116653.42	100214.29	85924.01	109611.39	199156.68	67074.93	129485.41	87148.33	97990.07	86543.21	126140.54	125355.45	102357.89	230333.86	127551.56	150312.7	116456.37	110911.05	144030.17	98877.26	83728.17	88442.49	96442.6	144928.26	164612.84	77627.79	194687.67
Yersinia infection 	180	13230.05	0	1095.75	711.8	719	30	159.25	3839	1621.75	1682	520	598.75	257.25	2291.25	520	55	1959.75	8720.5	3448	0	684.5	4117.25	345.75	239	869	560.5	13	73.5
Zeatin biosynthesis 	54092.19	37811.36	34099.47	29538.53	29172.53	23829.48	39664.31	18400.46	42253.57	21564.49	32517.2	15830.25	28116.97	26586.62	28320.12	29979.21	33966.39	32990.32	41846.37	23390.63	36889.96	26248.04	25236.71	30823.34	31352.34	39247.82	37370.36	44193.71	34659.17
alpha-Linolenic acid metabolism 	61405.59	66476.65	44908.11	54370.22	51400.29	47437.82	70922.57	33892.66	57110.44	32186.49	54506.24	36830.5	59942.18	69841.46	59469.77	66534.73	35598.33	54989.01	53613.28	61453.34	38735.38	39939.11	50880.22	36478.49	37831.14	57336.05	55391.52	51480.24	49703.67
beta-Alanine metabolism 	554892.48	620912.55	438436.3	501636.16	340266.35	407283.38	639401.33	274072.78	475715.63	334858.91	396036.01	306362.61	461553.45	483674.98	390006.22	440522.23	487505.16	510475.24	508490.36	495783.14	501533.83	366102.43	292436.23	318563.87	381148.98	516805.17	540032.98	411268.29	292263.2
beta-Lactam resistance 	537138.03	670593.88	531092.77	453301.59	389861.9	516065.48	617531.32	354980.94	528133.47	495597.73	394012.58	323447.82	376644.29	476119.86	460431.43	561483.28	590820.99	500927.31	588882.29	394315.46	590760.42	428469.85	494612	392699.43	427594.55	415337.75	549487.3	405788.69	424679.05
cAMP signaling pathway 	8586.2	3266.5	5453.85	10205.5	4954.67	5180	5539.08	2288.5	8451	2818	6946	4215.5	8944.7	9828	3164	3870.83	4235.5	10571.94	5764.83	14757	3932.25	3752.17	1263	5747.17	3226	21281.5	5544	5243.75	4872.5
cGMP-PKG signaling pathway 	319	10	0	221	113.67	0	39.33	0	39	0	37	0	0	38	196	0	58	452	0	0	6	167.67	0	0	75	3847	13	108	0
mRNA surveillance pathway 	688	69	153	0	993	2713	20	0	34	809	1184	2181	1141	5643	847	0	215	0	106	56	0	663	97	62	449	0	446	197	0
mTOR signaling pathway 	165	5	36.5	0	0	0	10	0	17	0	0	0	4	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0
p53 signaling pathway 	47958.34	77253.53	79097.08	24862.07	29602.22	20160.82	59178.32	20983.97	51664.85	21892.74	30578	15347.58	34164.19	19445.7	26341.74	89415.46	77849.18	61753.96	65272.24	32597.32	81778.53	65464.57	16236.42	28849.6	57170.76	50864.18	60027.57	34726.1	37571
